id|name
2655327|Bus 471: St. Michael Gemeindeamt => Graz Dietrichsteinplatz
2655516|Bus 480: Graz Walter-P.-Chrysler-Platz => Gillersdorf
2655518|Bus 480: Loipersdorf bei Fürstenfeld Abzweigung Zechmeister => Graz Walter-P.-Chrysler-Platz
2660836|Bus 500: Graz Andreas-Hofer-Platz/Joanneumsviertel => Sankt Stefan im Rosental Postamt (Expresskurs)
2660838|Bus 500: Graz Don Bosco Bahnhof => Sankt Stefan im Rosental Postamt
2660840|Bus 500: Hausmannstätten Hauptschule => Liebensdorf Tankstelle
2660848|Bus 500: Pirching am Traubenberg Ramsauer => Graz Andreas-Hofer-Platz/Joanneumsviertel
2660850|Bus 500: Sankt Stefan im Rosental Postamt => Graz Don Bosco Bahnhof (via Raaba Gemeindeamt)
2660852|Bus 500: Sankt Stefan im Rosental Postamt => Graz Hauptbahnhof
2663700|Bus 510: Enzelsdorf Ort => Graz Jakominiplatz
2663702|Bus 510: Fernitz Erzherzog-Johann-Platz => Graz Jakominiplatz
2663704|Bus 510: Graz Jakominiplatz => Enzelsdorf Ort
2663706|Bus 510: Graz Jakominiplatz => Fernitz Erzherzog-Johann-Platz
2663708|Bus 510: Graz Jakominiplatz => Kalsdorf bei Graz Gewerbepark Süd (via Hausmannstätten Hauptschule)
2663710|Bus 510: Graz Jakominiplatz => Murberg Ort
2663712|Bus 510: Kalsdorf bei Graz Bahnhof => Graz Jakominiplatz
2663714|Bus 510: Kalsdorf bei Graz Gewerbepark Süd => Graz Jakominiplatz
2663716|Bus 510: Murberg Ort => Fernitz Erzherzog-Johann-Platz
2663718|Bus 510: Murberg Ort => Graz Jakominiplatz
2667874|Bus 521: Enzelsdorf Ort => Graz Jakominiplatz (via Graz Liebenau/Postamt)
2667876|Bus 521: Fernitz Erzherzog-Johann-Platz => Graz Jakominiplatz
2667878|Bus 521: Graz Jakominiplatz => Fernitz Erzherzog-Johann-Platz
2667881|Bus 521: Murberg Ort => Graz Jakominiplatz
2669069|Bus 541: Empersdorf Kapelle => Wolfsberg im Schwarzautal Koller
2669071|Bus 541: Heiligenkreuz am Waasen Ort => Kittenbach Kapelle
2669073|Bus 541: Kirchbach Postamt => Hausmannstätten Hauptschule
2669076|Bus 541: Liebensdorf Tankstelle => Heiligenkreuz am Waasen Schule
2669079|Bus 541: Wolfsberg im Schwarzautal Postamt/Gasthaus Gottinger => Graz Griesplatz
2669865|Bus 551: Heiligenkreuz am Waasen Ort => Sankt Georgen an der Stiefing Gasthaus Aulibauer
2669867|Bus 551: Sankt Georgen an der Stiefing Gasthaus Aulibauer => Graz Griesplatz
2669869|Bus 551: Leibnitz Postamt => Heiligenkreuz am Waasen Ort
2669871|Bus 551: Sankt Georgen an der Stiefing Gasthaus Aulibauer => Heiligenkreuz am Waasen Ort
2679266|Bus 560: Graz Andreas-Hofer-Platz/Joanneumsviertel => Sankt Stefan im Rosental Postamt
2679268|Bus 560: Sankt Peter am Ottersbach Postamt => Graz Andreas-Hofer-Platz/Joanneumsviertel (Expresskurs)
2679271|Bus 560: Sankt Stefan im Rosental Postamt => Graz Andreas-Hofer-Platz/Joanneumsviertel
2680910|Bus 570: Gnas Postamt => Graz Andreas-Hofer-Platz/Joanneumsviertel (via Kohlberg bei Gnas Süd)
2680915|Bus 570: Graz Andreas-Hofer-Platz/Joanneumsviertel => Gnas Postamt
2680917|Bus 570: Graz Don Bosco Bahnhof => Ebersdorf bei Gnas
2680921|Bus 570: Sankt Peter am Ottersbach Postamt => Graz Andreas-Hofer-Platz/Joanneumsviertel
3074629|Bus 521: Fernitz Volksschule => Dörfla Endstation
3074631|Bus 521: Graz Jakominiplatz => Schwasdorf (via Graz Liebenau/Postamt)
3074633|Bus 521: Schwasdorf => Graz Jakominiplatz (via Graz Liebenau/Postamt)
3074641|Bus 460: Riegersburg Mitte => Graz Don Bosco Bahnhof (via Eggersdorf bei Graz Zentrum)
3074794|Bus X41: Graz Hauptbahnhof => Fürstenfeld Bahnhof
3081139|Bus 711: Stein bei Attendorf Küberlweg => Graz Lendplatz
3090262|Bus 600: Graz Hauptbahnhof => Bad Radkersburg Busbahnhof
3091780|Bus 600: Graz Don Bosco Bahnhof => Spielfeld-Straß Bahnhof
3091782|Bus 600: Graz Griesplatz => Straß Kaserne
3091784|Bus 600: Graz Hauptbahnhof => Bad Radkersburg Busbahnhof (via Leibnitz Gymnasium)
3091787|Bus 600: Graz Hauptbahnhof => Spielfeld-Straß Bahnhof
3091789|Bus 600: Kalsdorf bei Graz Ort => Bad Radkersburg Schulzentrum
3095287|Bus 600: Bad Radkersburg Busbahnhof => Graz Griesplatz (via Bad Radkersburg Therme)
3095289|Bus 600: Bad Radkersburg Busbahnhof => Graz Griesplatz
3095302|Bus 600: Leibnitz Postamt => Graz Griesplatz
3095304|Bus 600: Mureck Busbahnhof => Graz Griesplatz
3095309|Bus 600: Werndorf Schule => Graz Andreas-Hofer-Platz/Joanneumsviertel
3095311|Bus 600: Wildon Abzweigung Schule => Graz Griesplatz
3097153|Bus 610: Graz Griesplatz => Sankt Georgen an der Stiefing Gasthaus Aulibauer (via Wildon Abzweigung Schule)
3097160|Bus 610: Sankt Georgen an der Stiefing Gasthaus Aulibauer => Graz Griesplatz
3099300|Bus 620: Badendorf Gasthaus Ortner => Graz Griesplatz
3099302|Bus 620: Graz Griesplatz => Glojach Gasthaus Leber
3099304|Bus 620: Graz Griesplatz => Sankt Georgen an der Stiefing Gasthaus Aulibauer
